16:00,United States,New York Stock Exchange,09:30,XNYS,−5
16:00,United States,Nasdaq,09:30,XNAS,−5
15:00,China,Shanghai Stock Exchange,09:30,XSHG,+8
15:00,Japan,Japan Exchange Group,09:00,XJPX,+9
16:00,Hong Kong,Hong Kong Stock Exchange,09:30,XHKG,+8
15:00,China,Shenzhen Stock Exchange,09:30,XSHE,+8
16:30,United Kingdom,London Stock Exchange,08:00,XLON,+0
15:30,India,Bombay Stock Exchange,09:15,XBOM,+5.30
15:30,India,National Stock Exchange,09:15,XNSE,+5.30
16:00,Canada,Toronto Stock Exchange,09:30,XTSE,−5
15:00,Saudi Arabia,Saudi Stock Exchange (Tadawul),10:00,XSAU,+3
17:00,Denmark,Copenhagen Stock Exchange,09:00,XCSE,+1
17:30,Sweden,Stockholm Stock Exchange,09:00,XSTO,+1
18:30,Finland,Helsinki Stock Exchange,10:00,XHEL,+2
16:00,Estonia,Tallinn Stock Exchange,10:00,XTAL,+2
16:00,Latvia,Riga Stock Exchange,10:00,XRIS,+2
16:00,Lithuania,Vilnius Stock Exchange,10:00,XLIT,+2
15:30,Iceland,Iceland Stock Exchange,09:30,XICE,+0
15:30,South Korea,Korea Exchange,09:00,XKOS,+9
17:30,Switzerland,SIX Swiss Exchange,09:00,XSWX,+1
13:30,Taiwan,Taiwan Stock Exchange,09:00,XTAI,+8
16:00,Australia,Australian Securities Exchange,10:00,XASX,+10
17:00,South Africa,Johannesburg Stock Exchange,09:00,XJSE,+2
